"dma_json_code","date","keyword","hits","ratio"
"US",2012-01-01,"%2Fm%2F03m50g4",51,1
"US",2012-02-01,"%2Fm%2F03m50g4",59,1
"US",2012-03-01,"%2Fm%2F03m50g4",65,1
"US",2012-04-01,"%2Fm%2F03m50g4",67,1
"US",2012-05-01,"%2Fm%2F03m50g4",62,1
"US",2012-06-01,"%2Fm%2F03m50g4",57,1
"US",2012-07-01,"%2Fm%2F03m50g4",27,1
"US",2012-08-01,"%2Fm%2F03m50g4",28,1
"US",2012-09-01,"%2Fm%2F03m50g4",51,1
"US",2012-10-01,"%2Fm%2F03m50g4",81,1
"US",2012-11-01,"%2Fm%2F03m50g4",60,1
"US",2012-12-01,"%2Fm%2F03m50g4",44,1
"US",2013-01-01,"%2Fm%2F03m50g4",46,1
"US",2013-02-01,"%2Fm%2F03m50g4",58,1
"US",2013-03-01,"%2Fm%2F03m50g4",58,1
"US",2013-04-01,"%2Fm%2F03m50g4",61,1
"US",2013-05-01,"%2Fm%2F03m50g4",54,1
"US",2013-06-01,"%2Fm%2F03m50g4",26,1
"US",2013-07-01,"%2Fm%2F03m50g4",20,1
"US",2013-08-01,"%2Fm%2F03m50g4",28,1
"US",2013-09-01,"%2Fm%2F03m50g4",47,1
"US",2013-10-01,"%2Fm%2F03m50g4",77,1
"US",2013-11-01,"%2Fm%2F03m50g4",76,1
"US",2013-12-01,"%2Fm%2F03m50g4",46,1
"US",2014-01-01,"%2Fm%2F03m50g4",41,1
"US",2014-02-01,"%2Fm%2F03m50g4",48,1
"US",2014-03-01,"%2Fm%2F03m50g4",50,1
"US",2014-04-01,"%2Fm%2F03m50g4",59,1
"US",2014-05-01,"%2Fm%2F03m50g4",53,1
"US",2014-06-01,"%2Fm%2F03m50g4",27,1
"US",2014-07-01,"%2Fm%2F03m50g4",19,1
"US",2014-08-01,"%2Fm%2F03m50g4",25,1
"US",2014-09-01,"%2Fm%2F03m50g4",45,1
"US",2014-10-01,"%2Fm%2F03m50g4",60,1
"US",2014-11-01,"%2Fm%2F03m50g4",48,1
"US",2014-12-01,"%2Fm%2F03m50g4",40,1
"US",2015-01-01,"%2Fm%2F03m50g4",37,1
"US",2015-02-01,"%2Fm%2F03m50g4",43,1
"US",2015-03-01,"%2Fm%2F03m50g4",53,1
"US",2015-04-01,"%2Fm%2F03m50g4",50,1
"US",2015-05-01,"%2Fm%2F03m50g4",49,1
"US",2015-06-01,"%2Fm%2F03m50g4",27,1
"US",2015-07-01,"%2Fm%2F03m50g4",20,1
"US",2015-08-01,"%2Fm%2F03m50g4",24,1
"US",2015-09-01,"%2Fm%2F03m50g4",45,1
"US",2015-10-01,"%2Fm%2F03m50g4",51,1
"US",2015-11-01,"%2Fm%2F03m50g4",48,1
"US",2015-12-01,"%2Fm%2F03m50g4",35,1
"US",2016-01-01,"%2Fm%2F03m50g4",31,1
"US",2016-02-01,"%2Fm%2F03m50g4",39,1
"US",2016-03-01,"%2Fm%2F03m50g4",39,1
"US",2016-04-01,"%2Fm%2F03m50g4",41,1
"US",2016-05-01,"%2Fm%2F03m50g4",40,1
"US",2016-06-01,"%2Fm%2F03m50g4",23,1
"US",2016-07-01,"%2Fm%2F03m50g4",16,1
"US",2016-08-01,"%2Fm%2F03m50g4",21,1
"US",2016-09-01,"%2Fm%2F03m50g4",33,1
"US",2016-10-01,"%2Fm%2F03m50g4",39,1
"US",2016-11-01,"%2Fm%2F03m50g4",39,1
"US",2016-12-01,"%2Fm%2F03m50g4",30,1
"US",2017-01-01,"%2Fm%2F03m50g4",33,1
"US",2017-02-01,"%2Fm%2F03m50g4",39,1
"US",2017-03-01,"%2Fm%2F03m50g4",35,1
"US",2017-04-01,"%2Fm%2F03m50g4",34,1
"US",2017-05-01,"%2Fm%2F03m50g4",41,1
"US",2017-06-01,"%2Fm%2F03m50g4",19,1
"US",2017-07-01,"%2Fm%2F03m50g4",18,1
"US",2017-08-01,"%2Fm%2F03m50g4",24,1
"US",2017-09-01,"%2Fm%2F03m50g4",32,1
"US",2017-10-01,"%2Fm%2F03m50g4",43,1
"US",2017-11-01,"%2Fm%2F03m50g4",41,1
"US",2017-12-01,"%2Fm%2F03m50g4",87,1
"US",2018-01-01,"%2Fm%2F03m50g4",37,1
"US",2018-02-01,"%2Fm%2F03m50g4",41,1
"US",2018-03-01,"%2Fm%2F03m50g4",48,1
"US",2018-04-01,"%2Fm%2F03m50g4",40,1
"US",2018-05-01,"%2Fm%2F03m50g4",37,1
"US",2018-06-01,"%2Fm%2F03m50g4",22,1
"US",2018-07-01,"%2Fm%2F03m50g4",16,1
"US",2018-08-01,"%2Fm%2F03m50g4",24,1
"US",2018-09-01,"%2Fm%2F03m50g4",32,1
"US",2018-10-01,"%2Fm%2F03m50g4",42,1
"US",2018-11-01,"%2Fm%2F03m50g4",33,1
"US",2018-12-01,"%2Fm%2F03m50g4",31,1
"US",2019-01-01,"%2Fm%2F03m50g4",30,1
"US",2019-02-01,"%2Fm%2F03m50g4",36,1
"US",2019-03-01,"%2Fm%2F03m50g4",35,1
"US",2019-04-01,"%2Fm%2F03m50g4",33,1
"US",2019-05-01,"%2Fm%2F03m50g4",34,1
"US",2019-06-01,"%2Fm%2F03m50g4",18,1
"US",2019-07-01,"%2Fm%2F03m50g4",15,1
"US",2019-08-01,"%2Fm%2F03m50g4",19,1
"US",2019-09-01,"%2Fm%2F03m50g4",34,1
"US",2019-10-01,"%2Fm%2F03m50g4",40,1
"US",2019-11-01,"%2Fm%2F03m50g4",30,1
"US",2019-12-01,"%2Fm%2F03m50g4",25,1
"US",2020-01-01,"%2Fm%2F03m50g4",24,1
"US",2020-02-01,"%2Fm%2F03m50g4",100,1
"US",2020-03-01,"%2Fm%2F03m50g4",29,1
"US",2020-04-01,"%2Fm%2F03m50g4",19,1
"US",2020-05-01,"%2Fm%2F03m50g4",19,1
"US",2020-06-01,"%2Fm%2F03m50g4",16,1
"US",2020-07-01,"%2Fm%2F03m50g4",13,1
"US",2020-08-01,"%2Fm%2F03m50g4",15,1
"US",2020-09-01,"%2Fm%2F03m50g4",18,1
"US",2020-10-01,"%2Fm%2F03m50g4",20,1
"US",2020-11-01,"%2Fm%2F03m50g4",16,1
"US",2020-12-01,"%2Fm%2F03m50g4",14,1
"US",2021-01-01,"%2Fm%2F03m50g4",16,1
"US",2021-02-01,"%2Fm%2F03m50g4",19,1
"US",2021-03-01,"%2Fm%2F03m50g4",26,1
"US-AK",2012-01-01,"%2Fm%2F03m50g4",27,1.49406839468857
"US-AK",2012-02-01,"%2Fm%2F03m50g4",79,1.49406839468857
"US-AK",2012-03-01,"%2Fm%2F03m50g4",21,1.49406839468857
"US-AK",2012-04-01,"%2Fm%2F03m50g4",24,1.49406839468857
"US-AK",2012-05-01,"%2Fm%2F03m50g4",28,1.49406839468857
"US-AK",2012-06-01,"%2Fm%2F03m50g4",31,1.49406839468857
"US-AK",2012-07-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2012-08-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2012-09-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2012-10-01,"%2Fm%2F03m50g4",26,1.49406839468857
"US-AK",2012-11-01,"%2Fm%2F03m50g4",53,1.49406839468857
"US-AK",2012-12-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2013-01-01,"%2Fm%2F03m50g4",55,1.49406839468857
"US-AK",2013-02-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2013-03-01,"%2Fm%2F03m50g4",48,1.49406839468857
"US-AK",2013-04-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2013-05-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2013-06-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2013-07-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2013-08-01,"%2Fm%2F03m50g4",24,1.49406839468857
"US-AK",2013-09-01,"%2Fm%2F03m50g4",49,1.49406839468857
"US-AK",2013-10-01,"%2Fm%2F03m50g4",69,1.49406839468857
"US-AK",2013-11-01,"%2Fm%2F03m50g4",24,1.49406839468857
"US-AK",2013-12-01,"%2Fm%2F03m50g4",24,1.49406839468857
"US-AK",2014-01-01,"%2Fm%2F03m50g4",68,1.49406839468857
"US-AK",2014-02-01,"%2Fm%2F03m50g4",51,1.49406839468857
"US-AK",2014-03-01,"%2Fm%2F03m50g4",45,1.49406839468857
"US-AK",2014-04-01,"%2Fm%2F03m50g4",23,1.49406839468857
"US-AK",2014-05-01,"%2Fm%2F03m50g4",75,1.49406839468857
"US-AK",2014-06-01,"%2Fm%2F03m50g4",29,1.49406839468857
"US-AK",2014-07-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2014-08-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2014-09-01,"%2Fm%2F03m50g4",26,1.49406839468857
"US-AK",2014-10-01,"%2Fm%2F03m50g4",100,1.49406839468857
"US-AK",2014-11-01,"%2Fm%2F03m50g4",52,1.49406839468857
"US-AK",2014-12-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2015-01-01,"%2Fm%2F03m50g4",25,1.49406839468857
"US-AK",2015-02-01,"%2Fm%2F03m50g4",27,1.49406839468857
"US-AK",2015-03-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2015-04-01,"%2Fm%2F03m50g4",50,1.49406839468857
"US-AK",2015-05-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2015-06-01,"%2Fm%2F03m50g4",27,1.49406839468857
"US-AK",2015-07-01,"%2Fm%2F03m50g4",25,1.49406839468857
"US-AK",2015-08-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2015-09-01,"%2Fm%2F03m50g4",24,1.49406839468857
"US-AK",2015-10-01,"%2Fm%2F03m50g4",69,1.49406839468857
"US-AK",2015-11-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2015-12-01,"%2Fm%2F03m50g4",47,1.49406839468857
"US-AK",2016-01-01,"%2Fm%2F03m50g4",22,1.49406839468857
"US-AK",2016-02-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2016-03-01,"%2Fm%2F03m50g4",21,1.49406839468857
"US-AK",2016-04-01,"%2Fm%2F03m50g4",44,1.49406839468857
"US-AK",2016-05-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2016-06-01,"%2Fm%2F03m50g4",23,1.49406839468857
"US-AK",2016-07-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2016-08-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2016-09-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2016-10-01,"%2Fm%2F03m50g4",43,1.49406839468857
"US-AK",2016-11-01,"%2Fm%2F03m50g4",0,1.49406839468857
"US-AK",2016-12-01,"%2Fm%2F03m50g4",22,1.49406839468857
"US-AK",2017-01-01,"%2Fm%2F03m50g4",21,1.49406839468857
