Age,Total Sexes,Male,Female
Total,"4,648,794","2,267,050","2,381,744"
.Under 5 years,"301,469","153,377","148,092"
.5 to 9 years,"301,217","153,565","147,652"
.10 to 14 years,"306,719","156,208","150,511"
.15 to 19 years,"293,860","149,855","144,005"
.20 to 24 years,"303,408","153,923","149,485"
.25 to 29 years,"335,245","168,291","166,954"
.30 to 34 years,"322,982","160,613","162,369"
.35 to 39 years,"315,125","154,978","160,147"
.40 to 44 years,"274,729","135,240","139,489"
.45 to 49 years,"269,497","131,754","137,743"
.50 to 54 years,"278,851","135,027","143,824"
.55 to 59 years,"308,346","147,763","160,583"
.60 to 64 years,"296,324","140,834","155,490"
.65 to 69 years,"248,923","116,004","132,919"
.70 to 74 years,"193,611","88,726","104,885"
.75 to 79 years,"131,141","57,298","73,843"
.80 to 84 years,"85,290","34,908","50,382"
.85 years and over,"82,057","28,686","53,371"
,,,
.Under 18 years,"1,087,630","554,011","533,619"
.Under 5 years,"301,469","153,377","148,092"
.5 to 13 years,"547,589","278,990","268,599"
.14 to 17 years,"238,572","121,644","116,928"
.18 to 64 years,"2,820,142","1,387,417","1,432,725"
.18 to 24 years,"419,043","212,917","206,126"
.25 to 44 years,"1,248,081","619,122","628,959"
.45 to 64 years,"1,153,018","555,378","597,640"
.65 years and over,"741,022","325,622","415,400"
,,,
.16 years and over,"3,679,746","1,773,510","1,906,236"
.18 years and over,"3,561,164","1,713,039","1,848,125"
.15 to 44 years,"1,845,349","922,900","922,449"
,,,
Median age (years),37.5,36.2,38.8
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Median age is calculated based on single year of age. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,
Suggested Citation:,,,
"Annual Estimates of the Resident Population for Selected Age Groups by Sex for Louisiana: April 1, 2010 to July 1, 2019 (SC-EST2019-AGESEX-22)",,,
"Source: U.S. Census Bureau, Population Division",,,
Release Date: June 2020,,,
