Age,Total,Male,Female
Total,"19,453,561","9,447,846","10,005,715"
< 1,"223,930","114,477","109,453"
1,"223,989","114,664","109,325"
2,"225,107","115,597","109,510"
3,"226,638","116,266","110,372"
4,"227,337","115,906","111,431"
5-9,"1,117,891","571,442","546,449"
10-14,"1,100,705","563,068","537,637"
15-17,"682,702","348,582","334,120"
18-19,"492,697","249,157","243,540"
20-24,"1,269,847","634,217","635,630"
25-29,"1,465,003","733,350","731,653"
30-34,"1,402,648","703,593","699,055"
35-39,"1,271,005","629,991","641,014"
40-44,"1,158,956","569,181","589,775"
45-49,"1,196,751","583,079","613,672"
50-54,"1,275,053","618,183","656,870"
55-59,"1,348,846","649,259","699,587"
60-64,"1,248,310","594,863","653,447"
65-69,"1,032,146","481,370","550,776"
70-74,"827,776","373,875","453,901"
75-79,"578,106","248,265","329,841"
80-84,"398,117","161,163","236,954"
85+,"460,001","158,298","301,703"
